google,http://ww.google.com,website untuk mencari informasi
youtube,http://www.youtube.com,website untuk mencari dan berbagi video
gmail,http://www.gmail.com,website untuk mengirim dan menerima email
blogger,http://www.blogger.com,website untuk membuat blog
azis,http://www.azis.co.id,website yang dibuat oleh safrudin
safrudin,http://www.safrudin.com,safrudin
twiter,http://twiter.com,twiter
Daftar UDB,https://spmb.udb.ac.id/info-pendaftaran.html,website untuk mendaftar di universitas duta bangsa
belajar bahasa mandarin,https://www.youtube.com/watch?v=ZkwLfSbGMnk,"page 20, lanjut download page 21 dan seterusnya"
fb manager,https://web.facebook.com/adsmanager/creation?_rdc=1&_rdr&act=727074917735289,memasang iklan di fb
membuat header case opencv,http://youtube.com/watch?v=jG3bu0tjFbk,panduan untuk membuat pendeteksi objeck di open cv
how to install opencv,https://dholigum.blogspot.com/2019/01/tutorial-install-opencv-340-linux.html,tuturial untuk install open cv di linux
